request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. Even after paying, the balance stays above the IDR 24,768,300 minimum for the next 90 days (lowest point IDR 54,436,455.67 on 1 November 2025), with the IDR 30,780,000 invoice payment on 15 August 2025."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. Even after paying, the balance stays above the ZAR 20,500 minimum for the next 90 days (lowest point ZAR 20,631.13 on 3 October 2026)."
request_28,290.07,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Pay EUR 1,302.40 in full on 15 August 2024. Only EUR 290.07 is safe today: paying earlier would take the balance below the EUR 1,100 minimum (lowest projected balance EUR 1,390.07 on 11 June 2024); after the EUR 1,452 salary on 15 June 2024 the full payment keeps the minimum protected."
request_29,531.06,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Although ZAR 531.06 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at ZAR 28,831.06 on 1 February 2026 against the ZAR 28,300 minimum, and no confirmed income is projected in the window."
request_30,559.5,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,,stop:event_2694|reduce_to:event_2732:28,"Reduce the family dinner to USD 28 and stop the family streaming plan, then use 3 installments of USD 268.74, starting 6 April 2026 (total USD 806.22). Paying USD 775.20 today is not safe (only USD 559.50 is available above the USD 900 minimum); the spread-out installments fit the existing balance and keep at least USD 900 available."
request_31,4026799.97,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 15 November 2024. Only IDR 4,026,799.97 is safe today: paying earlier would take the balance below the IDR 16,588,900 minimum (lowest projected balance IDR 20,615,699.97 on 13 September 2024); after the IDR 19,972,800 salary on 15 September 2024 the full payment keeps the minimum protected."
request_32,10964.06,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Pay ZAR 40,018 in full on 15 April 2025. Only ZAR 10,964.06 is safe today: paying earlier would take the balance below the ZAR 35,700 minimum (lowest projected balance ZAR 46,664.06 on 14 February 2025); after the ZAR 54,120 salary on 15 February 2025 the full payment keeps the minimum protected."
request_33,30083.85,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000 in full on 15 March 2026. Only INR 30,083.85 is safe today: paying earlier would take the balance below the INR 102,100 minimum (lowest projected balance INR 132,183.85 on 14 January 2026); after the INR 150,000 salary on 15 January 2026 the full payment keeps the minimum protected."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. Even after paying, the balance stays above the INR 138,500 minimum for the next 90 days (lowest point INR 318,171.34 on 4 March 2025), with the INR 196,000 invoice payment on 15 December 2024."
request_35,32753.56,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 212,000 request. Although INR 32,753.56 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 139,153.56 on 13 November 2025 against the INR 106,400 minimum, and the INR 162,000 salary on 15 November 2025."
